0,1,2,3,4,5,6
"{0.0: 0.65, 0.5: 0.77, 0.20000000000000001: 0.66, 0.40000000000000002: 0.78, 0.80000000000000004: 0.91, 0.60000000000000009: 0.81, 0.30000000000000004: 0.67, 0.10000000000000001: 0.7, 0.90000000000000002: 0.96, 0.70000000000000007: 0.82}","{0.0: 0.56, 0.5: 0.81, 0.20000000000000001: 0.74, 0.40000000000000002: 0.71, 0.80000000000000004: 0.89, 0.60000000000000009: 0.82, 0.30000000000000004: 0.65, 0.10000000000000001: 0.68, 0.90000000000000002: 0.93, 0.70000000000000007: 0.88}","{0.0: 0.59, 0.5: 0.8, 0.20000000000000001: 0.64, 0.40000000000000002: 0.75, 0.80000000000000004: 0.88, 0.60000000000000009: 0.84, 0.30000000000000004: 0.75, 0.10000000000000001: 0.63, 0.90000000000000002: 0.92, 0.70000000000000007: 0.88}","{0.0: 0.56, 0.5: 0.78, 0.20000000000000001: 0.65, 0.40000000000000002: 0.72, 0.80000000000000004: 0.89, 0.60000000000000009: 0.81, 0.30000000000000004: 0.7, 0.10000000000000001: 0.49, 0.90000000000000002: 0.95, 0.70000000000000007: 0.85}","{0.0: 0.58, 0.5: 0.78, 0.20000000000000001: 0.69, 0.40000000000000002: 0.76, 0.80000000000000004: 0.93, 0.60000000000000009: 0.85, 0.30000000000000004: 0.72, 0.10000000000000001: 0.71, 0.90000000000000002: 0.92, 0.70000000000000007: 0.9}","{0.0: 0.53, 0.5: 0.79, 0.20000000000000001: 0.62, 0.40000000000000002: 0.75, 0.80000000000000004: 0.89, 0.60000000000000009: 0.81, 0.30000000000000004: 0.69, 0.10000000000000001: 0.68, 0.90000000000000002: 0.97, 0.70000000000000007: 0.85}","{0.0: 0.62, 0.5: 0.8, 0.20000000000000001: 0.71, 0.40000000000000002: 0.74, 0.80000000000000004: 0.9, 0.60000000000000009: 0.82, 0.30000000000000004: 0.67, 0.10000000000000001: 0.74, 0.90000000000000002: 0.97, 0.70000000000000007: 0.83}"
"{0.0: 0.8, 0.5: 0.9, 0.20000000000000001: 0.8, 0.40000000000000002: 0.85, 0.80000000000000004: 0.92, 0.60000000000000009: 0.93, 0.30000000000000004: 0.87, 0.10000000000000001: 0.83, 0.90000000000000002: 0.98, 0.70000000000000007: 0.87}","{0.0: 0.78, 0.5: 0.86, 0.20000000000000001: 0.83, 0.40000000000000002: 0.87, 0.80000000000000004: 0.95, 0.60000000000000009: 0.91, 0.30000000000000004: 0.88, 0.10000000000000001: 0.77, 0.90000000000000002: 0.92, 0.70000000000000007: 0.88}","{0.0: 0.75, 0.5: 0.89, 0.20000000000000001: 0.78, 0.40000000000000002: 0.89, 0.80000000000000004: 0.94, 0.60000000000000009: 0.87, 0.30000000000000004: 0.87, 0.10000000000000001: 0.78, 0.90000000000000002: 0.94, 0.70000000000000007: 0.9}","{0.0: 0.79, 0.5: 0.85, 0.20000000000000001: 0.87, 0.40000000000000002: 0.85, 0.80000000000000004: 0.95, 0.60000000000000009: 0.87, 0.30000000000000004: 0.82, 0.10000000000000001: 0.88, 0.90000000000000002: 0.93, 0.70000000000000007: 0.84}","{0.0: 0.72, 0.5: 0.9, 0.20000000000000001: 0.8, 0.40000000000000002: 0.85, 0.80000000000000004: 0.9, 0.60000000000000009: 0.9, 0.30000000000000004: 0.86, 0.10000000000000001: 0.85, 0.90000000000000002: 0.97, 0.70000000000000007: 0.88}","{0.0: 0.83, 0.5: 0.94, 0.20000000000000001: 0.8, 0.40000000000000002: 0.83, 0.80000000000000004: 0.88, 0.60000000000000009: 0.92, 0.30000000000000004: 0.86, 0.10000000000000001: 0.82, 0.90000000000000002: 0.92, 0.70000000000000007: 0.89}","{0.0: 0.73, 0.5: 0.92, 0.20000000000000001: 0.84, 0.40000000000000002: 0.85, 0.80000000000000004: 0.87, 0.60000000000000009: 0.93, 0.30000000000000004: 0.83, 0.10000000000000001: 0.78, 0.90000000000000002: 0.96, 0.70000000000000007: 0.89}"
"{0.0: 0.86, 0.5: 0.9, 0.20000000000000001: 0.83, 0.40000000000000002: 0.81, 0.80000000000000004: 0.98, 0.60000000000000009: 0.91, 0.30000000000000004: 0.92, 0.10000000000000001: 0.87, 0.90000000000000002: 0.95, 0.70000000000000007: 0.94}","{0.0: 0.83, 0.5: 0.92, 0.20000000000000001: 0.87, 0.40000000000000002: 0.86, 0.80000000000000004: 0.97, 0.60000000000000009: 0.91, 0.30000000000000004: 0.9, 0.10000000000000001: 0.83, 0.90000000000000002: 0.95, 0.70000000000000007: 0.94}","{0.0: 0.83, 0.5: 0.87, 0.20000000000000001: 0.89, 0.40000000000000002: 0.88, 0.80000000000000004: 0.89, 0.60000000000000009: 0.94, 0.30000000000000004: 0.92, 0.10000000000000001: 0.88, 0.90000000000000002: 0.96, 0.70000000000000007: 0.96}","{0.0: 0.8, 0.5: 0.93, 0.20000000000000001: 0.92, 0.40000000000000002: 0.91, 0.80000000000000004: 0.97, 0.60000000000000009: 0.91, 0.30000000000000004: 0.88, 0.10000000000000001: 0.86, 0.90000000000000002: 0.96, 0.70000000000000007: 0.93}","{0.0: 0.86, 0.5: 0.88, 0.20000000000000001: 0.91, 0.40000000000000002: 0.94, 0.80000000000000004: 0.94, 0.60000000000000009: 0.9, 0.30000000000000004: 0.87, 0.10000000000000001: 0.88, 0.90000000000000002: 0.97, 0.70000000000000007: 0.95}","{0.0: 0.86, 0.5: 0.96, 0.20000000000000001: 0.88, 0.40000000000000002: 0.91, 0.80000000000000004: 0.98, 0.60000000000000009: 0.92, 0.30000000000000004: 0.9, 0.10000000000000001: 0.87, 0.90000000000000002: 0.96, 0.70000000000000007: 0.94}","{0.0: 0.9, 0.5: 0.86, 0.20000000000000001: 0.86, 0.40000000000000002: 0.9, 0.80000000000000004: 0.96, 0.60000000000000009: 0.91, 0.30000000000000004: 0.88, 0.10000000000000001: 0.92, 0.90000000000000002: 0.95, 0.70000000000000007: 0.96}"
"{0.0: 0.63, 0.5: 0.84, 0.20000000000000001: 0.76, 0.40000000000000002: 0.74, 0.80000000000000004: 0.89, 0.60000000000000009: 0.86, 0.30000000000000004: 0.76, 0.10000000000000001: 0.68, 0.90000000000000002: 0.95, 0.70000000000000007: 0.9}","{0.0: 0.64, 0.5: 0.82, 0.20000000000000001: 0.78, 0.40000000000000002: 0.85, 0.80000000000000004: 0.94, 0.60000000000000009: 0.83, 0.30000000000000004: 0.8, 0.10000000000000001: 0.68, 0.90000000000000002: 0.95, 0.70000000000000007: 0.84}","{0.0: 0.7, 0.5: 0.83, 0.20000000000000001: 0.7, 0.40000000000000002: 0.81, 0.80000000000000004: 0.9, 0.60000000000000009: 0.83, 0.30000000000000004: 0.8, 0.10000000000000001: 0.7, 0.90000000000000002: 0.97, 0.70000000000000007: 0.86}","{0.0: 0.62, 0.5: 0.84, 0.20000000000000001: 0.77, 0.40000000000000002: 0.77, 0.80000000000000004: 0.93, 0.60000000000000009: 0.79, 0.30000000000000004: 0.78, 0.10000000000000001: 0.69, 0.90000000000000002: 0.96, 0.70000000000000007: 0.9}","{0.0: 0.69, 0.5: 0.84, 0.20000000000000001: 0.72, 0.40000000000000002: 0.83, 0.80000000000000004: 0.97, 0.60000000000000009: 0.89, 0.30000000000000004: 0.76, 0.10000000000000001: 0.69, 0.90000000000000002: 0.97, 0.70000000000000007: 0.91}","{0.0: 0.64, 0.5: 0.86, 0.20000000000000001: 0.72, 0.40000000000000002: 0.74, 0.80000000000000004: 0.94, 0.60000000000000009: 0.86, 0.30000000000000004: 0.8, 0.10000000000000001: 0.7, 0.90000000000000002: 0.95, 0.70000000000000007: 0.93}","{0.0: 0.69, 0.5: 0.86, 0.20000000000000001: 0.83, 0.40000000000000002: 0.81, 0.80000000000000004: 0.92, 0.60000000000000009: 0.89, 0.30000000000000004: 0.81, 0.10000000000000001: 0.66, 0.90000000000000002: 0.95, 0.70000000000000007: 0.88}"
"{0.0: 0.5, 0.5: 0.77, 0.20000000000000001: 0.62, 0.40000000000000002: 0.64, 0.80000000000000004: 0.9, 0.60000000000000009: 0.8, 0.30000000000000004: 0.72, 0.10000000000000001: 0.6, 0.90000000000000002: 0.97, 0.70000000000000007: 0.83}","{0.0: 0.5, 0.5: 0.74, 0.20000000000000001: 0.56, 0.40000000000000002: 0.67, 0.80000000000000004: 0.91, 0.60000000000000009: 0.84, 0.30000000000000004: 0.6, 0.10000000000000001: 0.54, 0.90000000000000002: 0.93, 0.70000000000000007: 0.83}","{0.0: 0.5, 0.5: 0.72, 0.20000000000000001: 0.59, 0.40000000000000002: 0.69, 0.80000000000000004: 0.89, 0.60000000000000009: 0.8, 0.30000000000000004: 0.64, 0.10000000000000001: 0.57, 0.90000000000000002: 0.94, 0.70000000000000007: 0.85}","{0.0: 0.49, 0.5: 0.76, 0.20000000000000001: 0.6, 0.40000000000000002: 0.68, 0.80000000000000004: 0.91, 0.60000000000000009: 0.75, 0.30000000000000004: 0.69, 0.10000000000000001: 0.47, 0.90000000000000002: 0.94, 0.70000000000000007: 0.81}","{0.0: 0.51, 0.5: 0.74, 0.20000000000000001: 0.66, 0.40000000000000002: 0.73, 0.80000000000000004: 0.93, 0.60000000000000009: 0.8, 0.30000000000000004: 0.62, 0.10000000000000001: 0.57, 0.90000000000000002: 0.96, 0.70000000000000007: 0.83}","{0.0: 0.57, 0.5: 0.8, 0.20000000000000001: 0.68, 0.40000000000000002: 0.76, 0.80000000000000004: 0.89, 0.60000000000000009: 0.84, 0.30000000000000004: 0.67, 0.10000000000000001: 0.59, 0.90000000000000002: 0.98, 0.70000000000000007: 0.89}","{0.0: 0.56, 0.5: 0.75, 0.20000000000000001: 0.55, 0.40000000000000002: 0.72, 0.80000000000000004: 0.89, 0.60000000000000009: 0.81, 0.30000000000000004: 0.66, 0.10000000000000001: 0.54, 0.90000000000000002: 0.97, 0.70000000000000007: 0.85}"
"{0.0: 0.83, 0.5: 0.9, 0.20000000000000001: 0.9, 0.40000000000000002: 0.93, 0.80000000000000004: 0.87, 0.60000000000000009: 0.86, 0.30000000000000004: 0.84, 0.10000000000000001: 0.87, 0.90000000000000002: 0.91, 0.70000000000000007: 0.86}","{0.0: 0.86, 0.5: 0.85, 0.20000000000000001: 0.82, 0.40000000000000002: 0.92, 0.80000000000000004: 0.91, 0.60000000000000009: 0.84, 0.30000000000000004: 0.81, 0.10000000000000001: 0.83, 0.90000000000000002: 0.9, 0.70000000000000007: 0.95}","{0.0: 0.79, 0.5: 0.85, 0.20000000000000001: 0.85, 0.40000000000000002: 0.86, 0.80000000000000004: 0.96, 0.60000000000000009: 0.9, 0.30000000000000004: 0.82, 0.10000000000000001: 0.8, 0.90000000000000002: 0.96, 0.70000000000000007: 0.94}","{0.0: 0.8, 0.5: 0.87, 0.20000000000000001: 0.82, 0.40000000000000002: 0.87, 0.80000000000000004: 0.93, 0.60000000000000009: 0.89, 0.30000000000000004: 0.87, 0.10000000000000001: 0.8, 0.90000000000000002: 0.96, 0.70000000000000007: 0.91}","{0.0: 0.86, 0.5: 0.92, 0.20000000000000001: 0.86, 0.40000000000000002: 0.88, 0.80000000000000004: 0.89, 0.60000000000000009: 0.85, 0.30000000000000004: 0.81, 0.10000000000000001: 0.85, 0.90000000000000002: 0.92, 0.70000000000000007: 0.91}","{0.0: 0.84, 0.5: 0.9, 0.20000000000000001: 0.87, 0.40000000000000002: 0.9, 0.80000000000000004: 0.9, 0.60000000000000009: 0.91, 0.30000000000000004: 0.88, 0.10000000000000001: 0.82, 0.90000000000000002: 0.96, 0.70000000000000007: 0.94}","{0.0: 0.91, 0.5: 0.87, 0.20000000000000001: 0.86, 0.40000000000000002: 0.89, 0.80000000000000004: 0.96, 0.60000000000000009: 0.9, 0.30000000000000004: 0.9, 0.10000000000000001: 0.81, 0.90000000000000002: 0.94, 0.70000000000000007: 0.85}"
